Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Luis Severino,31,SP,1.1,1,6,.143,4.77,14,14,0,0,0,0,83.0,83,47,44,6,27,1,60,5,0,1,361,87,3.72,1.325,9.0,0.7,2.9,6.5,2.22,,severlu01
2,Jeffrey Springs*,32,SP,0.2,5,5,.500,4.64,14,12,0,0,0,0,73.2,65,47,38,12,31,0,64,0,1,0,319,89,4.72,1.303,7.9,1.5,3.8,7.8,2.06,,sprinje01
3,JP Sears*,29,SP,0.6,5,5,.500,5.21,13,13,0,0,0,0,67.1,73,39,39,15,14,0,49,4,0,1,290,79,5.32,1.292,9.8,2.0,1.9,6.5,3.50,,searsjp01
4,Osvaldo Bido,29,SP,-0.3,2,4,.333,6.14,10,9,0,0,0,0,44.0,54,32,30,10,20,0,30,2,0,0,204,68,6.16,1.682,11.0,2.0,4.1,6.1,1.50,,bidoos01
5,Gunnar Hoglund,25,SP,-0.1,1,3,.250,6.40,6,6,0,0,0,0,32.1,38,23,23,10,11,0,23,0,0,1,139,65,6.69,1.515,10.6,2.8,3.1,6.4,2.09,,hoglugu01
6,Mason Miller,26,CL,0.2,0,2,.000,4.63,23,0,19,0,0,13,23.1,16,13,12,3,12,1,40,1,0,3,96,90,2.99,1.200,6.2,1.2,4.6,15.4,3.33,,millema03
7,Mitch Spence,27,RP,0.3,2,1,.667,3.67,24,2,3,0,0,1,49.0,44,27,20,5,15,1,45,4,0,1,207,113,3.73,1.204,8.1,0.9,2.8,8.3,3.00,,spencmi01
8,Tyler Ferguson,31,RP,0.0,1,2,.333,4.80,31,0,6,0,0,1,30.0,23,18,16,2,17,1,27,3,0,1,129,87,4.14,1.333,6.9,0.6,5.1,8.1,1.59,,ferguty01
9,Justin Sterner,28,RP,0.3,1,3,.250,4.28,29,1,3,0,0,0,27.1,25,14,13,5,14,0,30,4,0,1,123,98,5.23,1.427,8.2,1.6,4.6,9.9,2.14,,sternju01
10,Grant Holman,25,RP,0.4,4,1,.800,3.91,21,2,7,0,0,0,23.0,25,11,10,3,8,0,17,0,0,1,100,107,4.33,1.435,9.8,1.2,3.1,6.7,2.13,,holmagr01
11,Hogan Harris*,28,,0.6,1,1,.500,3.55,19,0,7,0,0,0,25.1,23,11,10,2,16,2,27,1,0,0,116,118,3.98,1.539,8.2,0.7,5.7,9.6,1.69,,harriho03
12,Jacob Lopez*,27,,-0.3,0,4,.000,6.00,8,4,1,0,0,0,24.0,29,19,16,6,12,0,31,3,0,0,115,70,5.62,1.708,10.9,2.3,4.5,11.6,2.58,,lopezja04
13,J.T. Ginn,26,,0.2,1,2,.333,5.60,4,4,0,0,0,0,17.2,21,11,11,6,6,0,22,2,0,0,81,75,6.36,1.528,10.7,3.1,3.1,11.2,3.67,,ginnjt01
14,Noah Murdock,26,,-1.4,1,1,.500,13.24,14,0,2,0,0,0,17.0,26,25,25,0,20,3,21,2,1,0,98,32,4.49,2.706,13.8,0.0,10.6,11.1,1.05,,murdono01
15,T.J. McFarland*,36,,0.1,0,0,,5.25,21,0,3,0,0,0,12.0,18,7,7,1,3,0,5,1,0,1,56,81,4.32,1.750,13.5,0.8,2.3,3.8,1.67,,mcfartj01
16,José Leclerc,31,,0.0,0,1,.000,6.00,10,0,1,0,0,0,9.0,13,6,6,3,5,0,8,0,1,1,46,71,7.30,2.000,13.0,3.0,5.0,8.0,1.60,,leclejo01
17,Sean Newcomb*,32,,0.2,1,0,1.000,3.00,4,0,1,0,0,0,9.0,10,3,3,0,4,0,7,0,0,0,41,143,2.85,1.556,10.0,0.0,4.0,7.0,1.75,,newcose01
18,Joey Estes,23,,-0.5,0,2,.000,15.43,2,2,0,0,0,0,7.0,15,12,12,4,6,0,5,1,0,0,42,28,12.07,3.000,19.3,5.1,7.7,6.4,0.83,,estesjo01
19,Elvis Alvarado,26,,-0.1,0,0,,7.50,4,0,2,0,0,0,6.0,9,5,5,1,3,0,8,2,0,1,32,58,5.07,2.000,13.5,1.5,4.5,12.0,2.67,,alvarel01
20,Anthony Maldonado,27,,-0.3,0,0,,12.00,6,0,5,0,0,0,6.0,10,8,8,3,5,1,7,0,0,1,33,36,9.74,2.500,15.0,4.5,7.5,10.5,1.40,,maldoan01
21,Jason Alexander,32,,-0.6,0,0,,18.00,4,0,3,0,0,0,6.0,12,13,12,3,5,0,5,0,0,0,35,24,10.41,2.833,18.0,4.5,7.5,7.5,1.00,,alexaja01
22,Michel Otañez,27,,-0.5,0,0,,13.50,6,0,1,0,0,0,5.1,7,8,8,2,5,0,6,1,0,0,28,33,9.07,2.250,11.8,3.4,8.4,10.1,1.20,,otanemi01
23,Michael Kelly,32,,0.2,0,0,,0.00,3,0,1,0,0,0,3.2,2,0,0,0,3,0,2,0,0,0,15,,4.44,1.364,4.9,0.0,7.4,4.9,0.67,,kellymi03
24,Angel Perdomo*,31,,0.0,0,0,,5.40,4,0,0,0,0,0,3.1,2,2,2,0,3,0,2,1,0,0,16,85,5.47,1.500,5.4,0.0,8.1,5.4,0.67,,perdoan01
25,Matt Krook*,30,,0.0,0,0,,5.40,3,0,0,0,0,0,3.1,5,2,2,0,1,0,3,0,0,1,15,85,2.17,1.800,13.5,0.0,2.7,8.1,3.00,,krookma01
26,Jhonny Pereda,29,,-0.2,0,0,,21.00,3,0,3,0,0,0,3.0,9,7,7,1,2,0,3,0,0,0,20,22,7.41,3.667,27.0,3.0,6.0,9.0,1.50,,peredjh01
27,Willie MacIver,28,,0.0,0,0,,0.00,1,0,1,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,6,,3.07,3.000,27.0,0.0,0.0,0.0,,,macivwi01
28,Carlos Durán,23,,-0.2,0,0,,81.00,1,0,0,0,0,0,0.1,1,3,3,0,3,0,0,0,0,0,5,11,30.07,12.000,27.0,0.0,81.0,0.0,0.00,,duranca01
,Team Totals,,,0.0,26,43,.377,5.62,69,69,69,0,0,15,612.0,661,413,382,103,271,10,547,37,3,15,2768,75,4.98,1.523,9.7,1.5,4.0,8.0,2.02,,-9999